gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,description,Regulation
ENSMUSG00000054978,38.99992337,-1.008074911,0.624218892,-1.614938163,0.106324087,0.548982667,Kbtbd13,kelch repeat and BTB (POZ) domain containing 13 [Source:MGI Symbol;Acc:MGI:1921742],Not Significant
ENSMUSG00000059824,1308.199948,0.770278073,0.476999989,1.614838765,0.106345616,0.548982667,Dbp,D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866],Not Significant
ENSMUSG00000025491,170.7299092,1.161188559,0.719087524,1.614808379,0.106352198,0.548982667,Ifitm1,interferon induced transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1915963],Not Significant
ENSMUSG00000017652,61.87260531,0.909184468,0.563146272,1.61447303,0.106424862,0.548982667,Cd40,CD40 antigen [Source:MGI Symbol;Acc:MGI:88336],Not Significant
ENSMUSG00000116164,10.45038172,-1.057974604,0.655340553,-1.614389035,0.106443069,0.548982667,1110013H19Rik,RIKEN cDNA 1110013H19 gene [Source:MGI Symbol;Acc:MGI:1915772],Not Significant
ENSMUSG00000020000,54.41451135,1.115528423,0.691019034,1.614323727,0.106457226,0.548982667,Moxd1,"monooxygenase, DBH-like 1 [Source:MGI Symbol;Acc:MGI:1921582]",Not Significant
ENSMUSG00000018554,379.3311333,-0.532366692,0.329803441,-1.614193866,0.106485382,0.548982667,Ybx2,Y box protein 2 [Source:MGI Symbol;Acc:MGI:1096372],Not Significant
ENSMUSG00000020407,269.9296871,1.120623306,0.694267131,1.614109693,0.106503635,0.548982667,Upp1,uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668],Not Significant
ENSMUSG00000046993,152.352706,0.879487464,0.54508605,1.613483713,0.106639459,0.549511167,Gm5637,predicted pseudogene 5637 [Source:MGI Symbol;Acc:MGI:3648120],Not Significant
ENSMUSG00000028150,684.7687949,-0.633908003,0.392955121,-1.61318168,0.106705042,0.549677504,Rorc,RAR-related orphan receptor gamma [Source:MGI Symbol;Acc:MGI:104856],Not Significant
