,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation
45,ABCA17P,1.021282648,0.26238584,2.648194716,0.099081022,0.92107394,NA,Not Significant
46,ABCA2,1173.522171,-0.352821064,0.093333141,-3.780233459,0.000156681,0.000553815,Not Significant
47,ABCA3,1964.51159,0.090576814,0.066867917,1.354563111,0.175556793,0.30282276,Not Significant
48,ABCA4,88.97764541,-0.165232588,0.290011298,-0.569745346,0.568850429,0.722068356,Not Significant
49,ABCA5,898.9583357,0.476711304,0.105218264,4.530689675,5.88E-06,2.47E-05,Not Significant
50,ABCA6,725.9239273,-0.158881867,0.101732045,-1.561768146,0.118342618,0.219621179,Not Significant
51,ABCA7,447.6372621,-0.575386878,0.132026971,-4.358101036,1.31E-05,5.32E-05,Not Significant
52,ABCA8,253.210901,-0.454719796,0.170409851,-2.668389147,0.007621592,0.020017289,Not Significant
53,ABCA9,138.3933193,-0.081732759,0.227127832,-0.359853558,0.718956649,0.833657451,Not Significant
54,ABCA9-AS1,2.929564782,-0.200578917,1.516568535,-0.132258393,0.894779916,NA,Not Significant
55,ABCB1,1286.228831,-0.158284081,0.079080121,-2.001565993,0.04533143,0.097040324,Not Significant
56,ABCB10,1506.179617,-0.040086418,0.074148235,-0.540625387,0.588765816,0.740194124,Not Significant
57,ABCB11,43.7338776,0.141600667,0.416138915,0.34027259,0.733651257,0.843003841,Not Significant
58,ABCB4,70.95024584,-1.147034639,0.324865994,-3.530793186,0.000414316,0.001376771,Down
59,ABCB5,0,NA,NA,NA,NA,NA,Not Significant
60,ABCB6,786.3239724,-0.589052046,0.098566139,-5.976211016,2.28E-09,1.31E-08,Not Significant
61,ABCB7,1201.89465,-0.211076769,0.082812,-2.548866928,0.010807353,0.027381917,Not Significant
62,ABCB8,1629.375053,0.014376084,0.070497217,0.203924134,0.838412785,0.910497973,Not Significant
63,ABCB9,456.647219,-1.210115544,0.131354619,-9.212584621,3.18E-20,3.13E-19,Down
64,ABCC1,6752.412717,0.308553636,0.045003835,6.856163229,7.07E-12,4.78E-11,Not Significant
65,ABCC10,1172.111417,0.001946248,0.088246843,0.02205459,0.98240441,0.990291327,Not Significant
66,ABCC11,54.89846652,0.078608669,0.366401107,0.214542664,0.830123901,0.905676984,Not Significant
67,ABCC12,0,NA,NA,NA,NA,NA,Not Significant
68,ABCC13,0,NA,NA,NA,NA,NA,Not Significant
69,ABCC2,76.21803173,0.020152115,0.309605692,0.065089615,0.948102649,0.972377264,Not Significant
70,ABCC3,1918.473932,-0.119549684,0.065421797,-1.827367777,0.067644491,0.136782366,Not Significant
71,ABCC4,2472.085719,-0.117231982,0.061550159,-1.904657657,0.056824587,0.117781643,Not Significant
72,ABCC5,908.0700429,-0.547563703,0.096232163,-5.690028007,1.27E-08,6.82E-08,Not Significant
73,ABCC5-AS1,0.667558772,-2.717785921,3.302604406,-0.82292203,0.410552334,NA,Not Significant
74,ABCC6,27.49374396,0.269396379,0.51591422,0.522172813,0.601550013,0.749711781,Not Significant
75,ABCC6P1,2.919307036,-4.844506749,2.022479171,-2.395330849,0.016605374,NA,Not Significant
76,ABCC6P2,1.335117543,-3.717766246,2.55847022,-1.453120782,0.146190222,NA,Not Significant
77,ABCC8,0,NA,NA,NA,NA,NA,Not Significant
78,ABCC9,0.217209119,-1.131968038,4.994897891,-0.226624861,0.820715459,NA,Not Significant
79,ABCD1,829.7456035,-0.679795955,0.096784921,-7.023779595,2.16E-12,1.50E-11,Not Significant
80,ABCD2,0,NA,NA,NA,NA,NA,Not Significant
81,ABCD3,1667.346089,-0.362790295,0.071782192,-5.054043123,4.33E-07,2.04E-06,Not Significant
82,ABCD4,1700.96005,-0.329944849,0.070655624,-4.669760563,3.02E-06,1.30E-05,Not Significant
83,ABCE1,8153.647265,0.075717737,0.038807329,1.951119516,0.05104283,0.107618295,Not Significant
84,ABCF1,7547.023467,1.086144536,0.040203391,27.01624212,9.53E-161,6.44E-159,Up
85,ABCF1-DT,11.90967407,-0.284714173,0.782253909,-0.363966444,0.715883067,0.831802765,Not Significant
86,ABCF2,3438.34106,0.175104666,0.05207156,3.362769738,0.000771647,0.002447375,Not Significant
87,ABCF2-H2BK1,2188.550916,0.163980765,0.062072441,2.641764423,0.00824754,0.021458161,Not Significant
88,ABCF3,2434.676569,0.025012275,0.059204956,0.422469282,0.672682518,0.801577223,Not Significant
89,ABCG1,4425.142422,1.15650114,0.048105587,24.04089053,1.04E-127,5.40E-126,Up
90,ABCG2,366.3954175,-0.504067354,0.145296413,-3.469234671,0.000521943,0.001706468,Not Significant
91,ABCG4,21.08027128,-0.949362159,0.594086551,-1.598019949,0.110038537,0.206958445,Not Significant
